timestamp,fivegs_pcffunction_pa_policysmassosucc_value,fivegs_pcffunction_pa_sessionnbr_value,fivegs_smffunction_sm_n4sessionreportsucc_value,fivegs_smffunction_sm_pdusessioncreationreq_value,fivegs_smffunction_sm_qos_flow_nbr_value,application,log_type
2025-04-22 09:37:55,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:37:56,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:37:57,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:37:58,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:37:59,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:00,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:01,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:02,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:03,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:04,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:05,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:06,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:07,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:08,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:09,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:10,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:11,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:12,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:13,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:14,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:15,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:16,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:17,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:18,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:19,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:20,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:21,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:22,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:23,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:24,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:25,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:26,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:27,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:28,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:29,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:30,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:31,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:32,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:33,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:34,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:35,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:36,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:37,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:38,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:39,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:40,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:41,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:42,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:43,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:44,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:45,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:46,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:47,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:48,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:49,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:50,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:51,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:52,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:53,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:54,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:55,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:56,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:57,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:58,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:38:59,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:00,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:01,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:02,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:03,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:04,10.0,4.0,0.0,10.0,10.0,0.0,0.0
