timestamp,log_level,component,message,log_file
2025-03-17 11:13:35.305,INFO,sbi,NF EndPoint(addr) setup [172.22.0.13:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:35.305,WARNING,sbi,NF EndPoint(addr) updated [172.22.0.13:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:35.305,INFO,sbi,NF EndPoint(addr) setup [172.22.0.13:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:35.305,INFO,sbi,[8bb664c2-0315-41f0-90c2-e553c6bed893] (NF-discover) NF Profile updated [type:UDM validity:30s] (../lib/sbi/nnrf-handler.c:1290),scp.log
2025-03-17 11:13:35.307,INFO,scp,NF EndPoint(addr) setup [172.22.0.14:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:54.404,INFO,scp,NF EndPoint(addr) setup [172.22.0.7:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:14:04.804,INFO,sbi,[8bb2652a-0315-41f0-91f7-d5edeb4bb7d4] NF expired [type:AUSF] (../lib/sbi/nf-sm.c:308),scp.log
2025-03-17 11:14:04.804,INFO,sbi,[8bb2652a-0315-41f0-91f7-d5edeb4bb7d4] NF de-registered [type:AUSF] (../lib/sbi/nf-sm.c:345),scp.log
2025-03-17 11:14:05.226,INFO,sbi,[91afa1e0-0315-41f0-86a0-0df79c76a94a] NF expired [type:UDR] (../lib/sbi/nf-sm.c:308),scp.log
2025-03-17 11:14:05.226,INFO,sbi,[91afa1e0-0315-41f0-86a0-0df79c76a94a] NF de-registered [type:UDR] (../lib/sbi/nf-sm.c:345),scp.log
2025-03-17 11:14:05.226,INFO,sbi,[91a9faba-0315-41f0-907c-91c503a0cda6] NF expired [type:BSF] (../lib/sbi/nf-sm.c:308),scp.log
2025-03-17 11:14:05.226,INFO,sbi,[91a9faba-0315-41f0-907c-91c503a0cda6] NF de-registered [type:BSF] (../lib/sbi/nf-sm.c:345),scp.log
2025-03-17 11:14:05.307,INFO,sbi,[8bb664c2-0315-41f0-90c2-e553c6bed893] NF expired [type:UDM] (../lib/sbi/nf-sm.c:308),scp.log
2025-03-17 11:14:05.308,INFO,sbi,[8bb664c2-0315-41f0-90c2-e553c6bed893] NF de-registered [type:UDM] (../lib/sbi/nf-sm.c:345),scp.log
2025-03-17 11:39:54.426,INFO,scp,NF EndPoint(addr) setup [172.22.0.13:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:39:54.429,INFO,sbi,[8bb664c2-0315-41f0-90c2-e553c6bed893] (NRF-discover) NF registered [type:NULL] (../lib/sbi/nnrf-handler.c:1245),scp.log
2025-03-17 11:39:54.430,INFO,sbi,NF EndPoint(addr) setup [172.22.0.13:80] (../lib/sbi/context.c:2350),scp.log
