timestamp,application,log_level,log_message
2025-03-19 20:27:59,sbi,INFO,[44569c7a-04f8-41f0-840f-57865fc1d60b] (NRF-notify) NF registered (../lib/sbi/nnrf-handler.c:1133)
2025-03-19 20:27:59,sbi,INFO,[44569c7a-04f8-41f0-840f-57865fc1d60b] (NRF-notify) NF Profile updated [type:AUSF] (../lib/sbi/nnrf-handler.c:1147)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.11:80] (../lib/sbi/context.c:2350)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.11:7777] (../lib/sbi/context.c:2089)
2025-03-19 20:27:59,sbi,INFO,[4470af0c-04f8-41f0-97c3-4b1af3dec23a] (NRF-notify) NF registered (../lib/sbi/nnrf-handler.c:1133)
2025-03-19 20:27:59,sbi,INFO,[4470af0c-04f8-41f0-97c3-4b1af3dec23a] (NRF-notify) NF Profile updated [type:AMF] (../lib/sbi/nnrf-handler.c:1147)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.10:80] (../lib/sbi/context.c:2350)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.10:7777] (../lib/sbi/context.c:2089)
2025-03-19 20:27:59,scp,INFO,NF EndPoint(addr) setup [172.22.0.10:7777] (../src/scp/sbi-path.c:461)
2025-03-19 20:27:59,sbi,INFO,[44a0877c-04f8-41f0-9f03-53a3292eaf40] (NRF-notify) NF registered (../lib/sbi/nnrf-handler.c:1133)
2025-03-19 20:27:59,sbi,INFO,[44a0877c-04f8-41f0-9f03-53a3292eaf40] (NRF-notify) NF Profile updated [type:SMF] (../lib/sbi/nnrf-handler.c:1147)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.7:80] (../lib/sbi/context.c:2350)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.7:7777] (../lib/sbi/context.c:2089)
2025-03-19 20:28:09,sbi,INFO,[4a3d08a4-04f8-41f0-b8a5-a9142f8b8010] (NRF-notify) NF registered (../lib/sbi/nnrf-handler.c:1133)
2025-03-19 20:28:09,sbi,INFO,[4a3d08a4-04f8-41f0-b8a5-a9142f8b8010] (NRF-notify) NF Profile updated [type:UDR] (../lib/sbi/nnrf-handler.c:1147)
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.14:80] (../lib/sbi/context.c:2350)
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.14:7777] (../lib/sbi/context.c:2089)
2025-03-19 20:28:09,scp,INFO,NF EndPoint(addr) setup [172.22.0.13:7777] (../src/scp/sbi-path.c:461)
2025-03-19 20:28:09,sbi,INFO,[4a4096ae-04f8-41f0-8d32-9dca6b3df575] (NRF-notify) NF registered (../lib/sbi/nnrf-handler.c:1133)
2025-03-19 20:28:09,sbi,INFO,[4a4096ae-04f8-41f0-8d32-9dca6b3df575] (NRF-notify) NF Profile updated [type:BSF] (../lib/sbi/nnrf-handler.c:1147)
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.29:80] (../lib/sbi/context.c:2350)
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.29:7777] (../lib/sbi/context.c:2089)
